generation,energy
206,6.19376e-11
207,6.28712e-11
208,6.25804e-11
209,6.25108e-11
210,6.2924e-11
211,6.21864e-11
212,6.20583e-11
213,6.18812e-11
214,6.26051e-11
215,6.26282e-11
216,6.31906e-11
217,6.353e-11
218,6.33542e-11
219,6.23034e-11
220,6.4333e-11
221,6.3312e-11
222,6.29174e-11
223,6.29688e-11
224,6.39407e-11
225,6.3576e-11
226,6.21368e-11
227,6.39267e-11
228,6.43623e-11
229,6.34398e-11
230,6.42654e-11
231,6.38036e-11
232,6.47823e-11
233,6.45085e-11
234,6.35131e-11
235,6.32206e-11
236,6.31416e-11
237,6.24889e-11
238,6.25277e-11
239,6.27525e-11
240,6.25821e-11
241,6.14901e-11
242,6.19489e-11
243,6.2844e-11
244,6.31855e-11
245,6.2088e-11
246,6.31197e-11
247,6.38036e-11
248,6.32008e-11
249,6.37981e-11
250,6.30546e-11
251,6.33215e-11
252,6.29304e-11
253,6.35984e-11
254,6.35476e-11
255,6.33264e-11
256,6.31349e-11
257,6.34487e-11
258,6.34309e-11
259,6.42278e-11
260,6.43528e-11
261,6.41241e-11
262,6.30521e-11
263,6.30137e-11
264,6.24137e-11
265,6.1934e-11
266,6.1352e-11
267,6.08987e-11
268,6.22542e-11
269,6.16212e-11
270,6.1697e-11
271,6.13779e-11
272,6.15947e-11
273,6.12047e-11
274,6.03892e-11
275,6.11025e-11
276,6.22907e-11
277,6.2864e-11
278,6.23403e-11
279,6.18682e-11
280,6.24767e-11
281,6.22649e-11
282,6.22251e-11
283,6.36471e-11
284,6.31157e-11
285,6.18066e-11
286,6.30134e-11
287,6.23765e-11
288,6.18091e-11
289,6.17576e-11
290,6.1365e-11
291,6.14341e-11
292,6.13152e-11
293,6.1401e-11
294,6.16596e-11
295,6.23456e-11
296,6.30231e-11
297,6.30436e-11
298,6.29456e-11
299,6.37365e-11
300,6.37556e-11
301,6.27434e-11
302,6.4246e-11
303,6.3799e-11
304,6.26326e-11
305,6.38075e-11
306,6.50318e-11
307,6.3551e-11
308,6.36015e-11
309,6.28656e-11
310,6.2416e-11
311,6.42219e-11
312,6.3008e-11
313,6.30942e-11
314,6.1376e-11
315,6.23109e-11
316,6.30262e-11
317,6.19987e-11
318,6.24808e-11
319,6.29895e-11
320,6.37341e-11
321,6.29787e-11
322,6.3467e-11
323,6.16251e-11
324,6.31729e-11
325,6.12863e-11
326,6.38823e-11
327,6.37764e-11
328,6.3934e-11
329,6.35142e-11
330,6.36376e-11
331,6.10514e-11
332,6.27508e-11
333,6.3543e-11
334,6.36151e-11
335,6.37922e-11
336,6.17395e-11
