generation,energy
141,1.0443e-10
142,1.0443e-10
143,1.0443e-10
144,1.0443e-10
145,1.04429e-10
146,1.04429e-10
147,1.04429e-10
148,1.04429e-10
149,1.04429e-10
150,1.04429e-10
151,1.04429e-10
152,1.04429e-10
153,1.04427e-10
154,1.04425e-10
155,1.04425e-10
156,1.04425e-10
157,1.04425e-10
158,1.04425e-10
159,1.04425e-10
160,1.04425e-10
161,1.04425e-10
162,1.04424e-10
163,1.04424e-10
164,1.04424e-10
165,1.04424e-10
166,1.04424e-10
167,1.04424e-10
168,1.04424e-10
169,1.04424e-10
170,1.04424e-10
171,1.04424e-10
172,1.04424e-10
173,1.04424e-10
174,1.04424e-10
175,1.04424e-10
176,1.04424e-10
177,1.04424e-10
178,1.04423e-10
179,1.04423e-10
180,1.04423e-10
181,1.04423e-10
182,1.04423e-10
183,1.04423e-10
184,1.04423e-10
185,1.04423e-10
186,1.04423e-10
187,1.04423e-10
188,1.04423e-10
189,1.04423e-10
190,1.04423e-10
191,1.04423e-10
192,1.04423e-10
193,1.04423e-10
194,1.04423e-10
195,1.04423e-10
196,1.04423e-10
197,1.04423e-10
198,1.04423e-10
199,1.04423e-10
200,1.04423e-10
201,1.04423e-10
202,1.04423e-10
203,1.04423e-10
204,1.04423e-10
205,1.04423e-10
206,1.04423e-10
207,1.04423e-10
208,1.04423e-10
209,1.04423e-10
210,1.04423e-10
211,1.04423e-10
212,1.04423e-10
213,1.04423e-10
214,1.04423e-10
215,1.04423e-10
216,1.04423e-10
217,1.04423e-10
218,1.04423e-10
219,1.04423e-10
220,1.04423e-10
221,1.04423e-10
222,1.04423e-10
223,1.04423e-10
224,1.04423e-10
225,1.04423e-10
226,1.04423e-10
227,1.04423e-10
228,1.04423e-10
229,1.04423e-10
230,1.04423e-10
231,1.04423e-10
232,1.04423e-10
233,1.04423e-10
234,1.04423e-10
235,1.04423e-10
236,1.04423e-10
237,1.04423e-10
238,1.04423e-10
239,1.04423e-10
240,1.04423e-10
241,1.04423e-10
242,1.04423e-10
243,1.04423e-10
244,1.04423e-10
245,1.04423e-10
246,1.04423e-10
247,1.04423e-10
248,1.04423e-10
249,1.04423e-10
250,1.04423e-10
251,1.04423e-10
252,1.04423e-10
253,1.04423e-10
254,1.04423e-10
255,1.04423e-10
256,1.04423e-10
257,1.04423e-10
258,1.04423e-10
259,1.04423e-10
260,1.04423e-10
261,1.04423e-10
262,1.04423e-10
263,1.04423e-10
264,1.04423e-10
265,1.04423e-10
266,1.04423e-10
267,1.04423e-10
268,1.04423e-10
269,1.04423e-10
270,1.04423e-10
271,1.04423e-10
272,1.04423e-10
273,1.04423e-10
274,1.04423e-10
275,1.04423e-10
276,1.04423e-10
277,1.04423e-10
278,1.04423e-10
279,1.04423e-10
280,1.04423e-10
281,1.04423e-10
282,1.04423e-10
283,1.04423e-10
